no,a2,a3,a4,a5,a6,a7,v1_1,v1_2,v1_3,v1_4,v1_5,v1_o,v2,v3,v4_1,v4_2,v4_3,v4_o,v5_1,v5_2,v5_3,v5_4,v5_5,v5_6,v5_o,v6_1,v6_2,v6_3,v6_4,v6_o,v7,v8_1,v8_2,v8_3,v8_4,v8_5,v8_o,v9_1,v9_2,v9_3,v9_o,v10_1,v10_2,v10_3,v10_4,v10_5,v10_o,v11,v12_1,v12_2,v12_3,v12_4,v12_o,v13_1,v13_2,v13_3,v13_4,v13_o,v14_1,v14_2,v14_3,v14_4,v14_5,v14_6,v14_o,v15_1,v15_2,v15_3,v15_4,v15_5,v15_6,v15_o
164,2,3,3,5,3,3,3,5,7, , , ,1,9,5, , , ,2,8, , , , ,口語表達能力變好,7, , , , ,3, , , , , , , , , , ,1,2,4, , , ,4,3,4, , , ,1,2,5, , ,4,5,6, , , , ,2,5,6, , , , 
243,2,2,3,5,3,3,1,4,7, , , ,1,7,1, , , ,2,5, , , , , ,7, , , , ,4,9, , , , ,薪資,1,4,5, ,1,4, , , , ,5,4, , , , ,1, , , , ,1,2,3, , , , ,1,2, , , , , 
303,2,2,3,2,3,3,6, , , , , ,1,9,1, , , ,1,4,6, , , , ,7, , , , ,2, , , , , , , , , , ,1,3,5, , , ,8,1,2, , , ,1,2, , , ,1,2,4, , , , ,2,6, , , , , 
305,2,2,3,2,3,3,1,6,7, , , ,1,8,1, , , ,1,4,5, , , , ,7, , , , ,2, , , , , , , , , , ,1,2,3, , , ,8,2, , , , ,1,2,5, , ,9, , , , , ,以上皆是,1,2,3, , , , 
375,2,3,3,8,3,3,2,7, , , , ,1,5,1, , , ,7, , , , , , ,7, , , , ,4,1,2,4, , , ,2,5, , ,1,2,3, , , ,3,5, , , , ,1,3, , , ,1,2,5, , , , ,1,2,6, , , , 
415,2,2,3,4,1,3,1,3,7, , , ,1,8,7, , ,沒有,1,2,5, , , , ,7, , , , ,3, , , , , , , , , , ,1,3, , , , ,7,1,2, , , ,1,4,5, , ,1,2,5, , , , ,1,3,6, , , , 
425,2,2,3,5,3,3,1,2,5, , , ,1,8,4, , , ,2,5, , , , , ,7, , , , ,4,2,5, , , , ,2,5, , ,1,4, , , , ,5,1,3, , , ,3, , , , ,3,4, , , , , ,2,3,5, , , , 
427,2,2,3,16,2,3,1,2,7, , , ,1,8,1, , , ,2,4,6, , , , ,7, , , , ,3, , , , , , , , , , ,1,2, , , , ,7,3,6, , , ,1,2, , , ,1,2,4, , , , ,1,6, , , , , 
455,2,1,1,18,1,3,3,4,7, , , ,1,8,4, , , ,1,2,4, , , , ,7, , , ,還好,3, , , , , , , , , , ,1,2,3, , , ,5,9, , , ,還好,1,2, , , ,1,2,5, , , , ,1,2,4, , , , 
472,2,3,3,16,3,3,7, , , , , ,1,7,1, , , ,6, , , , , , ,7, , , ,還好,4,10, , , , ,大環境,1,2,5, ,1,2, , , , ,7,9, , , ,沒有類似經驗,2, , , , ,1,2,6, , , , ,8, , , , , ,以上皆是。
668,2,2,3,5,3,3,1,3,5, , , ,1,8,1,3,4, ,1,5,6, , , , ,7, , , , ,3, , , , , , , , , , ,1,2,3, , , ,6,3,4,6, , ,1,2,3, , ,1,2,6, , , , ,2,4,6, , , , 
789,2,2,2,3,1,3,1, , , , , ,1,8,7, , ,都沒有,2,5,6, , , , ,7, , , , ,3, , , , , , , , , , ,1,2,3, , , ,6,9, , , ,都沒有,1,2,5, , ,2,6, , , , , ,1,6, , , , , 
792,2,2,3,5,2,3,1, , , , , ,1,7,7, , ,都沒有,1,2, , , , , ,7, , , , ,3, , , , , , , , , , ,1, , , , , ,6,3, , , , ,1,2,5, , ,5,7, , , , , ,1,3,6, , , , 
911,2,2,1,16,2,3,1, , , , , ,1,7,1, , , ,1,2, , , , , ,7, , , , ,3, , , , , , , , , , ,1, , , , , ,6,5, , , , ,3, , , , ,4, , , , , , ,1,3,4, , , , 
496,2,2,3,5,2,4,2,6,7, , , ,1,7,7, , ,沒有,1,2, , , , , ,7, , , , ,3, , , , , , , , , , ,1,2,3, , , ,5,3,6, , , ,2,3, , , ,1,2,7, , , , ,1,2,3, , , , 
69,1,3,4,11,2,2,3,4,7, , , ,2, , , , , ,2,4,6, , , , ,8, , , , ,4,1,3, , , , ,1,3, , ,1,3, , , , ,6,2,3,6, , ,1,2,3, , ,1,4, , , , , ,1,3,6, , , , 
105,1,3,3,8,3,2,2,6, , , , ,2, , , , , ,1,5, , , , , ,8, , , , ,2, , , , , , , , , , ,1,3,5, , , ,7,1,4, , , ,1,2,5, , ,2,4,7, , , , ,1,3,5, , , , 
302,1,2,3,16,1,2,6,7, , , , ,2, , , , , ,1,4, , , , , ,8, , , , ,4,1,4, , , , ,1, , , ,1,2,3, , , ,5,3, , , , ,1,2, , , ,1,2,4, , , , ,1,2, , , , , 
433,1,3,3,9,2,2,3,5,7, , , ,2, , , , , ,1,4,6, , , , ,8, , , , ,2, , , , , , , , , , ,1,4, , , , ,7,1, , , , ,1,2, , , ,1,2,5, , , , ,1,2,4, , , , 
888,1,2,3,16,1,3,3,4,7, , , ,2, , , , , ,8, , , , , , ,8, , , , ,5,1,3,4, , , ,1,5, , ,1,2,5, , , ,6,2,4,6, , ,1,2, , , ,1,3,5, , , , ,1,2,4, , , , 
68,1,1,1,18,1,4,3,7, , , , ,2, , , , , ,1,2,4, , , , ,8, , , , ,3, , , , , , , , , , ,1,4, , , , ,6,3,6, , , ,1,2,3, , ,1,4,5, , , , ,1,2, , , , , 
46,2,3,4,7,1,1,2,3,4, , , ,2, , , , , ,8, , , , , , ,8, , , , ,3, , , , , , , , , , ,1,3,5, , , ,7,1,6, , , ,1,2,3, , ,2,4,5, , , , ,1,3, , , , , 
863,2,1,1,13,1,1,1,3,7, , , ,2, , , , , ,8, , , , , , ,8, , , , ,3, , , , , , , , , , ,1,2, , , , ,5,3, , , , ,1,2,5, , ,5, , , , , , ,1,2,3, , , , 
1065,2,1,1,18,1,1,1, , , , , ,2, , , , , ,1,2,3, , , , ,8, , , , ,3, , , , , , , , , , ,1, , , , , ,8,3, , , , ,1,2,3, , ,2, , , , , , ,2, , , , , , 
107,2,2,3,5,1,2,3,4,7, , , ,2, , , , , ,8, , , , , , ,8, , , , ,4,5,6, , , , ,1,2,3, ,1,4, , , , ,6,1,6, , , ,2,4,5, , ,1,2,5, , , , ,1,2, , , , , 
290,2,2,3,14,2,2,3,7, , , , ,2, , , , , ,2, , , , , , ,8, , , , ,4,8, , , , ,沒工作過回答不出來。,6, , ,沒工作過回答不出來。,1, , , , , ,5,1, , , , ,1, , , , ,2, , , , , , ,1,2, , , , , 
715,2,2,3,18,1,2,1,2,3, , , ,2, , , , , ,1,2,4, , , , ,8, , , , ,2, , , , , , , , , , ,1,4,5, , , ,8,3, , , , ,1,5, , , ,2,3,4, , , , ,1,5,6, , , , 
248,2,2,2,1,1,3,2,3,7, , , ,2, , , , , ,2,3,6, , , , ,8, , , , ,4,1,4,7, , , ,1,2,4, ,1,2,5, , , ,6,2,5,6, , ,1,2,5, , ,1,2,4, , , , ,1,3,4, , , , 
335,2,2,3,4,1,3,1,2,4, , , ,2, , , , , ,2,4,5, , , , ,8, , , , ,4,4,5, , , , ,2,4, , ,1,4,5, , , ,6,1, , , , ,1,2,5, , ,2,4,6, , , , ,1,2,3, , , , 
688,2,2,3,4,2,3,1,4,7, , , ,2, , , , , ,8, , , , , , ,8, , , , ,4,1,4,6, , , ,1,5, , ,1,2,3, , , ,7,1,2,6, , ,1,2,3, , ,1,2,3, , , , ,1,2,5, , , , 
1048,2,3,4,11,1,3,2,7, , , , ,2, , , , , ,6, , , , , , ,8, , , , ,3, , , , , , , , , , ,1,2,3, , , ,6,1,4, , , ,1,2, , , ,1,2,5, , , , ,1,4,6, , , , 
1010,2,1,1,16,1,1,3,4,7, , , ,1,8,2, , , ,1,6, , , , , ,9, , , ,職業傷害,3, , , , , , , , , , ,1,2,5, , , ,7,3,4,6, , ,1,2,3, , ,1,2,4, , , , ,1,2,3, , , , 
67,1,2,1,18,3,2,3,4,5, , , ,1,8,1, , , ,1,2,3, , , , ,10, , , ,沒有以前自由,3, , , , , , , , , , ,1,3,5, , , ,6,2, , , , ,1,3,5, , ,1,2,3, , , , ,1,2,3, , , , 
755,1,3,4,11,3,3,7, , , , , ,1,7,1, , , ,2, , , , , , ,10, , , ,時間不自由,2, , , , , , , , , , ,1,4, , , , ,8,2,3, , , ,2, , , , ,1,4, , , , , ,2,3, , , , , 
6,1,2,3,11,3,1,3,4,6, , , ,1,6,1,4, , ,2,3, , , , , ,1,2,3,4, ,4,1,3,5, , , ,2,4,5, ,2,3,5, , , ,7,3, , , , ,2, , , , ,1,3,5, , , , ,1,2,4, , , , 
577,1,3,3,8,3,1,2,3,6, , , ,1,5,1, , , ,1,2,4, , , , ,1, , , , ,5,1,5,6, , , ,1,2,4, ,2,4, , , , ,7,1,3,4, , ,1,2,5, , ,2,3,5, , , , ,2,3,4, , , , 
611,1,2,2,11,2,1,2,3,7, , , ,2, , , , , ,1,2,6, , , , ,1,3, , , ,4,1,2,7, , , ,2,4, , ,2,3,5, , , ,6,1,2,6, , ,2,3,5, , ,4,5,6, , , , ,1,2,6, , , , 
704,1,3,4,9,2,1,3,6, , , , ,1,8,1,4,5, ,3,4,6, , , , ,1, , , , ,4,4,7, , , , ,5, , , ,2,3, , , , ,6,6, , , , ,2, , , , ,4, , , , , , ,1,2,5, , , , 
711,1,3,3,5,3,1,10, , , , ,沒有,2, , , , , ,3,4,5, , , , ,1,2, , , ,4,1, , , , , ,2, , , ,2,4, , , , ,4,3, , , , ,2,3, , , ,1,4,5, , , , ,1,3,4, , , , 
767,1,3,3,3,3,1,1,2,3, , , ,1,6,4,5, , ,1,2,4, , , , ,1,2,4, , ,3, , , , , , , , , , ,2,3,5, , , ,7,9, , , ,以上皆非,1,2, , , ,2,5,6, , , , ,1,2,3, , , , 
977,1,3,3,5,3,1,1,3,4, , , ,1,5,1,4, , ,2,3,4, , , , ,1,4, , , ,4,1,3,5, , , ,1,3,4, ,2,3,4, , , ,6,1,2, , , ,1,2,4, , ,2,3,6, , , , ,1,3,4, , , , 
981,1,3,3,3,3,1,1,2,4, , , ,2, , , , , ,2,5, , , , , ,1,4, , , ,4,2,3,5, , , ,2,3,5, ,2,3, , , , ,8,3,4,5, , ,1,2,3, , ,1,2,4, , , , ,1,2,5, , , , 
1017,1,2,3,7,2,1,1,3,7, , , ,1,4,2,3, , ,2,6, , , , , ,1,5, , , ,3, , , , , , , , , , ,2, , , , , ,6,3,6, , , ,1,3,5, , ,1,2,6, , , , ,1,2,6, , , , 
1023,1,3,3,13,2,1,2,3, , , , ,2, , , , , ,2,5, , , , , ,1,4, , , ,4,1,3, , , , ,1,2,4, ,2,4, , , , ,6,1,3,4, , ,1,2,3, , ,1,2,4, , , , ,1,2,3, , , , 
1096,1,3,3,11,3,1,1,2,7, , , ,1,8,2,4, , ,1,2,5, , , , ,1,3, , , ,3, , , , , , , , , , ,2,3,5, , , ,7,2,3,5, , ,1,2, , , ,1,2,3, , , , ,1,3,4, , , , 
64,1,2,3,11,2,2,1,4,7, , , ,1,6,1,4,5, ,1,2,4, , , , ,1,2, , , ,4,1,3,6, , , ,2,4, , ,2,3,5, , , ,6,2,3, , , ,1,2,5, , ,1,2,4, , , , ,1,2,5, , , , 
99,1,3,3,13,2,2,1,3,7, , , ,2, , , , , ,4,5, , , , , ,1,4, , , ,3, , , , , , , , , , ,2,3,5, , , ,7,4,6, , , ,1,2,5, , ,9, , , , , ,以上皆是,1,3, , , , , 
268,1,2,3,5,1,2,1,2,4, , , ,2, , , , , ,1,2,5, , , , ,1, , , , ,4,1, , , , , ,5, , , ,2,3,5, , , ,6,4, , , , ,2,3,4, , ,1,2,3, , , , ,1,3,5, , , , 
325,1,3,3,7,3,2,3,5,6, , , ,2, , , , , ,2,5,6, , , , ,1,3, , , ,3, , , , , , , , , , ,2,3,4, , , ,7,3,4, , , ,1,2,5, , ,1,3,5, , , , ,1,2,3, , , , 
374,1,2,3,10,1,2,2,3, , , , ,1,6,1,2,3, ,2,5, , , , , ,1,3, , , ,4,2, , , , , ,1,2,4, ,2, , , , , ,8,2, , , , ,2, , , , ,1,2,5, , , , ,2,3,5, , , , 
438,1,3,4,11,1,2,4,6,7, , , ,2, , , , , ,1,2,4, , , , ,1,4, , , ,3, , , , , , , , , , ,2,3,5, , , ,8,6, , , , ,1,2,5, , ,1,3,5, , , , ,2,3,6, , , , 
502,1,3,3,11,2,2,1,4,7, , , ,2, , , , , ,8, , , , , , ,1,4,6, , ,3, , , , , , , , , , ,2,3,4, , , ,6,9, , , ,以上皆非,2,4,5, , ,2,5, , , , , ,8, , , , , ,以上皆是
170,1,1,3,11,1,3,1, , , , , ,1,5,6, , ,工作天數不是很多。,5, , , , , , ,1,3, , , ,4,1,2, , , , ,4, , , ,2,3, , , , ,7,2, , , , ,1,2, , , ,4, , , , , , ,6, , , , , , 
172,1,2,3,11,2,3,4, , , , , ,1,3,3, , , ,5, , , , , , ,1, , , , ,4,1, , , , , ,2,4, , ,2,3, , , , ,5,4, , , , ,1, , , , ,5, , , , , , ,6, , , , , , 
595,1,2,4,11,1,3,3,4,6, , , ,2, , , , , ,1,4,6, , , , ,1,4, , , ,2, , , , , , , , , , ,2,3,5, , , ,6,3,4,5, , ,1,2,4, , ,5,6,7, , , , ,1,2,3, , , , 
724,1,2,3,8,2,3,4,7, , , , ,2, , , , , ,4,6, , , , , ,1,4,6, , ,4,1,4,7, , , ,1,4, , ,2,4,5, , , ,5,1,6, , , ,1,2,5, , ,2,5, , , , , ,1,3,4, , , , 
758,1,3,3,8,3,3,2,3,7, , , ,2, , , , , ,1,2,5, , , , ,1, , , , ,5,1,4, , , , ,4, , , ,2,3,4, , , ,7,1,2,6, , ,1,2, , , ,1,2,4, , , , ,1,2,6, , , , 
808,1,1,1,11,1,3,1,4, , , , ,2, , , , , ,1,4,5, , , , ,1,3,6, , ,3, , , , , , , , , , ,2,5, , , , ,7,3,6, , , ,1,2,3, , ,1,2,5, , , , ,2,3,4, , , , 
832,1,1,1,11,1,3,3,4,7, , , ,1,8,5, , , ,1,2, , , , , ,1,4, , , ,2, , , , , , , , , , ,2, , , , , ,7,2, , , , ,1,5, , , ,1,5,6, , , , ,1,2,3, , , , 
833,1,2,3,11,3,3,1,2,7, , , ,1,8,1,4, , ,2,6, , , , , ,1,2,6, , ,3, , , , , , , , , , ,2,3, , , , ,7,3,6, , , ,1,2, , , ,2,4,5, , , , ,1,2,3, , , , 
876,1,2,2,16,1,3,1,2,7, , , ,2, , , , , ,2,6, , , , , ,1,2, , , ,3, , , , , , , , , , ,2,3, , , , ,5,6, , , , ,1,2, , , ,2,6, , , , , ,1,2, , , , , 
905,1,2,3,2,3,3,3,5,7, , , ,2, , , , , ,4,5,6, , , , ,1,3,5, , ,4,1,2,7, , , ,1,2,3, ,2,3,4, , , ,6,1,2,3, , ,1,2,3, , ,1,2,4, , , , ,1,3,4, , , , 
948,1,3,4,5,2,3,7, , , , , ,2, , , , , ,1,2,4, , , , ,1, , , , ,3, , , , , , , , , , ,2, , , , , ,6,6, , , , ,1,2, , , ,1,2, , , , , ,1,2,3, , , , 
950,1,3,4,8,1,3,7, , , , , ,2, , , , , ,4,5,6, , , , ,1,4,5, , ,3, , , , , , , , , , ,2,3, , , , ,7,3, , , , ,1,2,5, , ,1,2,5, , , , ,2,4,6, , , , 
968,1,3,3,8,3,3,4,7, , , , ,1,6,1,3, , ,1,2,6, , , , ,1,3,5, , ,4,2,3, , , , ,5, , , ,2,5, , , , ,5,2, , , , ,2, , , , ,1,4,5, , , , ,1,5, , , , , 
84,1,2,3,18,2,4,1,5,7, , , ,1,7,1,4,5, ,1,2,4, , , , ,1, , , , ,3, , , , , , , , , , ,2,3,5, , , ,8,2, , , , ,1,2,5, , ,1,4,7, , , , ,1,3,6, , , , 
109,1,2,3,11,3,4,2,3,7, , , ,1,8,1, , , ,1,4,6, , , , ,1,6, , , ,3, , , , , , , , , , ,2,3, , , , ,6,2,3,6, , ,1,2, , , ,1,7, , , , , ,1,2,4, , , , 
112,1,2,3,18,2,4,2,4, , , , ,1,7,1,5, , ,2,3,6, , , , ,1,2, , , ,2, , , , , , , , , , ,2,3, , , , ,8,3,6, , , ,2, , , , ,2,7, , , , , ,2,3, , , , , 
332,2,2,3,5,1,1,2,3,4,5, , ,2, , , , , ,1,2,4, , , , ,1, , , , ,4,1,2,4,7, , ,2,4,5, ,2,3,4, , , ,7,1,2,4,6, ,1,5, , , ,1,2,3, , , , ,1,2,3, , , , 
484,2,2,3,18,1,1,3,6,7, , , ,1,6,4, , , ,3,4, , , , , ,1, , , , ,5,1,2,7, , , ,1,4,5, ,2,3,5, , , ,7,1,3, , , ,1,2,5, , ,1,2,6, , , , ,1,2,5, , , , 
564,2,2,3,18,2,1,1,3,7, , , ,2, , , , , ,1,2,5, , , , ,1,4, , , ,3, , , , , , , , , , ,2,3,5, , , ,6,3, , , , ,1, , , , ,1,2,5, , , , ,1,5,6, , , , 
734,2,2,3,9,2,1,1,2, , , , ,1,7,2, , , ,1,2,4, , , , ,1,3,4, , ,2, , , , , , , , , , ,2,3, , , , ,3,3,4,5, , ,1,2,4, , ,1,3,4, , , , ,1,2,3, , , , 
778,2,2,3,18,2,1,7,11, , , ,增強語言能力,2, , , , , ,1,4, , , , , ,1,3, , , ,3, , , , , , , , , , ,2,3,5, , , ,7,3,4,6, , ,1,2, , , ,1,6,7, , , , ,2,3,6, , , , 
830,2,2,3,5,2,1,1,4,5, , , ,1,4,1,3,5, ,2,4,6, , , , ,1,3,6, , ,4,1,2,7, , , ,1,2, , ,2,4, , , , ,5,1,3, , , ,2,3,4, , ,9, , , , , ,以上皆是。,1,2,4, , , , 
896,2,2,3,14,1,1,2,5, , , , ,1,7,1,3, , ,1,2,5, , , , ,1,2,5, , ,3, , , , , , , , , , ,2,5, , , , ,7,2,3, , , ,1,2, , , ,1,3,5, , , , ,1,2,3, , , , 
920,2,3,3,18,3,1,2,6,7, , , ,1,8,1,2,3, ,1,2,5, , , , ,1,3, , , ,3, , , , , , , , , , ,2,3,5, , , ,5,2,4, , , ,1,2,3, , ,1,2,4, , , , ,1,2,3, , , , 
985,2,3,3,3,3,1,7, , , , , ,1,7,1,2,3, ,4,6, , , , , ,1, , , , ,4,1,2, , , , ,4, , , ,2,5, , , , ,7,2, , , , ,2,4, , , ,1,2,3, , , , ,1,2,4, , , , 
988,2,2,3,18,3,1,1,6, , , , ,1,6,1, , , ,1,4,6, , , , ,1, , , , ,4,13, , , , ,沒有以上問題。,1,5, , ,2, , , , , ,7,3, , , , ,1,2, , , ,1,3, , , , , ,1,6, , , , , 
1002,2,2,3,16,3,1,1,2,3, , , ,2, , , , , ,1, , , , , , ,1,2,5, , ,3, , , , , , , , , , ,2, , , , , ,7,2,6, , , ,1,2, , , ,1,2, , , , , ,3,4,6, , , , 
35,2,2,3,18,1,2,4,7, , , , ,1,7,2, , , ,7, , , , , , ,1,3,6, , ,3, , , , , , , , , , ,2, , , , , ,10,1,2,6, , ,2,3,5, , ,1,2,5, , , , ,2,3,4, , , , 
54,2,2,3,5,3,2,1,2,7, , , ,1,8,1, , , ,1,2,4, , , , ,1, , , , ,3, , , , , , , , , , ,2,3, , , , ,7,1,2, , , ,1,3, , , ,2,3, , , , , ,3,5, , , , , 
73,2,3,3,5,3,2,1,5,6, , , ,1,7,1,5, , ,1,2,3, , , , ,1,4, , , ,3, , , , , , , , , , ,2,3, , , , ,7,4, , , , ,1,2,5, , ,4,6,7, , , , ,1,5, , , , , 
88,2,2,3,4,1,2,2,6,7, , , ,2, , , , , ,1,2,6, , , , ,1,3, , , ,4,5,6,7, , , ,2,3,5, ,2,3,5, , , ,7,1,3,4, , ,1,2,5, , ,1,2,4, , , , ,1,3,6, , , , 
102,2,2,3,9,1,2,2,4, , , , ,1,8,1,4, , ,1,6, , , , , ,1,5, , , ,2, , , , , , , , , , ,2, , , , , ,7,3,4,6, , ,1,2,3, , ,1,4,5, , , , ,1,2,6, , , , 
106,2,2,3,8,1,2,2,3,4, , , ,2, , , , , ,1,2, , , , , ,1,5,6, , ,4,1,4,7, , , ,1,4,5, ,2,3,5, , , ,6,1,2,3, , ,1,2,4, , ,1,2,4, , , , ,1,2,5, , , , 
145,2,3,3,12,3,2,9, , , , ,以上皆是,1,8,6, , ,要自行創業,1,4,5, , , , ,1,2,4, , ,4,5, , , , , ,1,2,4, ,2,4,5, , , ,7,2,3,4, , ,1,3,5, , ,2,3,4, , , , ,1,3,5, , , , 
153,2,2,3,5,3,2,3,6, , , , ,1,7,1,5, , ,1,2, , , , , ,1,6, , , ,3, , , , , , , , , , ,2,3, , , , ,5,3,4, , , ,2,3, , , ,2,3,4, , , , ,1,2,3, , , , 
414,2,2,3,9,2,2,1,2,7, , , ,2, , , , , ,2,3,4, , , , ,1,2,5, , ,5,1,4,6, , , ,1,2,4, ,2, , , , , ,7,1,4,5, , ,1,2,4, , ,1,4,5, , , , ,2,3,6, , , , 
581,2,2,3,16,1,2,1,2,4,7, , ,2, , , , , ,1,2,4, , , , ,1,4,6, , ,4,1,6, , , , ,1,2,4, ,2,3,4,5, , ,7,3,5,6, , ,1,2,5, , ,1,2,4, , , , ,1,2,3,6, , , 
610,2,2,3,2,2,2,3,6,7, , , ,2, , , , , ,1,5, , , , , ,1,6, , , ,3, , , , , , , , , , ,2,5, , , , ,6,8, , , ,以上皆是。,7, , , ,以上皆是。,2,3, , , , , ,8, , , , , ,以上皆是。
616,2,2,3,5,2,2,3,4,7, , , ,1,7,1,3,4, ,1,2,5, , , , ,1,2,6, , ,4,1,6,7, , , ,1,4,5, ,2,3,5, , , ,6,1,3,6, , ,1,2,3, , ,1,2,4, , , , ,1,2,6, , , , 
671,2,2,3,5,2,2,1,7, , , , ,2, , , , , ,3,4, , , , , ,1,2,6, , ,4,1,4,5, , , ,1,2,4, ,2,3,4, , , ,6,3,6, , , ,1,2,5, , ,2,4,5, , , , ,1,2, , , , , 
693,2,2,3,5,1,2,2,7, , , , ,2, , , , , ,1,6, , , , , ,1,2, , , ,3, , , , , , , , , , ,2,3, , , , ,6,3, , , , ,2, , , , ,1,4, , , , , ,1,5, , , , , 
700,2,2,3,8,1,2,1,2,3, , , ,2, , , , , ,1,2, , , , , ,1,2, , , ,4,1,4, , , , ,2,5, , ,2, , , , , ,7,8, , , ,以上皆是。,1,2, , , ,4,5, , , , , ,8, , , , , ,以上皆是。
732,2,2,3,7,1,2,9, , , , ,以上皆是。,2, , , , , ,1,4,5, , , , ,1,4, , , ,4,1,5, , , , ,1,4,5, ,2,4, , , , ,5,1,3,4, , ,1,4, , , ,9, , , , , ,以上皆是。,1,3,4, , , , 
160,2,2,1,2,1,3,1,4, , , , ,2, , , , , ,1,2,4, , , , ,1,2, , , ,3, , , , , , , , , , ,2,3, , , , ,5,6, , , , ,1, , , , ,5, , , , , , ,1,2, , , , , 
204,2,1,1,1,1,3,1, , , , , ,2, , , , , ,2,4, , , , , ,1, , , , ,3, , , , , , , , , , ,2,4, , , , ,5,4,6, , , ,1,2, , , ,2,5, , , , , ,3,4,6, , , , 
235,2,3,4,5,3,3,1,3,7, , , ,1,3,5, , , ,4,5, , , , , ,1,4, , , ,4,4,5, , , , ,4,5, , ,2,3,5, , , ,5,2,3,4, , ,1,2, , , ,1, , , , , , ,4,6, , , , , 
271,2,3,3,3,3,3,1,4,7, , , ,2, , , , , ,2,4,6, , , , ,1,2,4, , ,5,1,4,6, , , ,2, , , ,2, , , , , ,5,1, , , , ,1,5, , , ,1, , , , , , ,1,6, , , , , 
311,2,3,4,9,1,3,6,7, , , , ,2, , , , , ,1,2,5, , , , ,1,2,6, , ,1, , , , , , , , , , ,2,3,4, , , ,7,3, , , , ,1,2,5, , ,1,2,3, , , , ,1,2,3, , , , 
395,2,2,3,2,2,3,1,3,6, , , ,1,7,1,5, , ,1,2,6, , , , ,1,4, , , ,4,13, , , , ,上述都沒有,1,4,5, ,2,3,5, , , ,7,1,3,4, , ,1,2, , , ,1,2,6, , , , ,1,3,5, , , , 
463,2,2,3,11,3,3,2,3, , , , ,2, , , , , ,2,5, , , , , ,1,2, , , ,3, , , , , , , , , , ,2,3, , , , ,3,3,6, , , ,5, , , , ,1,5, , , , , ,4,5, , , , , 
473,2,2,3,3,3,3,2,3,4, , , ,2, , , , , ,2,3,4, , , , ,1,2,4, , ,3, , , , , , , , , , ,2,3,5, , , ,5,1,2,3, , ,1,2, , , ,2,4,6, , , , ,2,3,4, , , , 
508,2,2,3,18,1,3,1,2,7, , , ,2, , , , , ,2,4,6, , , , ,1,3, , , ,3, , , , , , , , , , ,2,5, , , , ,6,2,3,6, , ,1,2, , , ,1,2, , , , , ,1,3,5, , , , 
667,2,3,3,14,3,3,2,3, , , , ,1,8,1,5, , ,1,4,5, , , , ,1,4, , , ,3, , , , , , , , , , ,2,3, , , , ,6,6, , , , ,1,2,4, , ,1,2,4, , , , ,1,3,5, , , , 
974,2,2,3,3,2,3,2,4,5, , , ,2, , , , , ,1,4, , , , , ,1,4, , , ,3, , , , , , , , , , ,2,3, , , , ,6,1, , , , ,1,2, , , ,1,4,6, , , , ,1,6, , , , , 
1085,2,2,3,4,1,3,1,3,7, , , ,1,10,5, , , ,1,2,4, , , , ,1,2,3, , ,4,1,4,6, , , ,1,4,5, ,2,3,5, , , ,6,3,4,6, , ,1,2, , , ,1,2,6, , , , ,1,2,5, , , , 
1088,2,2,4,8,1,3,3,4,6, , , ,2, , , , , ,1,4,6, , , , ,1, , , , ,3, , , , , , , , , , ,2, , , , , ,6,1,3,4, , ,1,2,5, , ,1,5,6, , , , ,2,3, , , , , 
232,1,3,3,10,3,1,1, , , , , ,1,8,7, , ,沒有都可以,4,6, , , , , ,2, , , , ,2, , , , , , , , , , ,2,4, , , , ,7,3, , , , ,6, , , ,制度要清楚,3,4, , , , , ,2,3, , , , , 
653,1,3,3,10,3,1,3,7, , , , ,1,8,1,2,3, ,3,4,5, , , , ,2,3,5, , ,4,4,5,7, , , ,1,2,4, ,2,3,5, , , ,7,1,2,5, , ,1,3,4, , ,3,4,5, , , , ,1,4,5, , , , 
1078,1,2,3,11,1,1,1,2,3, , , ,2, , , , , ,1,5, , , , , ,2,5, , , ,3, , , , , , , , , , ,2,3,5, , , ,7,2,3,4, , ,1,2, , , ,2,5, , , , , ,2,6, , , , , 
10,1,3,3,8,1,2,3,7, , , , ,1,7,1,5, , ,3,4,6, , , , ,2,3, , , ,4,1,2,4, , , ,4,5, , ,2,4,5, , , ,6,1,2,6, , ,1,2,5, , ,1,2,4, , , , ,2,4,5, , , , 
22,1,2,3,2,1,2,1,2, , , , ,2, , , , , ,2,4, , , , , ,2,4,6, , ,3, , , , , , , , , , ,2,4,5, , , ,5,1,2,3, , ,1,2,3, , ,1,2,5, , , , ,1,2,6, , , , 
28,1,2,3,8,1,2,1,3,4, , , ,2, , , , , ,1,2,4, , , , ,2,3,4, , ,3, , , , , , , , , , ,2,3,4, , , ,6,3,5,6, , ,1,2, , , ,2,4, , , , , ,1,4,5, , , , 
33,1,1,1,15,1,2,3,7, , , , ,1,7,1,5, , ,2,3,4, , , , ,2, , , , ,3, , , , , , , , , , ,2,3, , , , ,5,2,3, , , ,1,2, , , ,1,3, , , , , ,2,3,6, , , , 
121,1,2,1,8,2,2,1,4, , , , ,2, , , , , ,2,3, , , , , ,2,3,6, , ,3, , , , , , , , , , ,2,4, , , , ,5,1,3,6, , ,2, , , , ,1,5, , , , , ,4,5, , , , , 
